Artikelbezeichnung;Hersteller;Artikelnummer;Kategoriepfad;Beschreibungsfeld;Bild-Link;Deeplink;Verfuegbarkeit;Bruttopreis;Stattpreis;EAN;Versandkosten;
"Belly Boat • 160 Komplett-Set";"Jenzi";"FA108166";"Räuchern, Angeln>Schirme,Zelte,Liegen,Taschen>Schirme,Zelte,Liegen,Taschen>Diverser Anglerbedarf";"Das Belly Boat 160 von DEGA hat eine Länge von 160cm und eine Breite von 103cm und wird komplett ausgestattet an unsere Kunden ausgeliefert! Eine TOP Qualität und Ausführung die keine Wünsche offen lässt, ein bequemer und verstellbarer Sitz, . drei Luftkammern im Boot und Sitz sowie Schraubventile sorgen für die Sicherheit beim Angeln. Metallquerstange, der Fangriemen in der Mitte des Sitzes sowie das abnehmbare Netz / Ablage, in welchem ein Maßband integriert ist. sorgen für die Sicherheit. ca. 140 kg Tragkraft Reserven vorhanden sind. das Belly Boat verfügt auch über genügend Stauraum für das Angelgerät mit 2 geräumigen Taschen mit Klettverchluss diese können auch abgenommen werden ! Des Weiteren verbirgt sich hinter dem Sitz eine zusätzliche tiefe Reißverschlusstasche. Zubehör inklusive Reparaturset, Pumpe, Netz / Ablage mit Maßband, Tragegurte 2 Paddel, geräumige Taschen für Zubeh...";https://www.faie.at/media/image/e4/10/e8/art_pro_fo_ka_108166-01_200x200.jpg;"https://www.faie.at/raeuchern-angeln/schirme-zelte-liegen-taschen/schirme-zelte-liegen-taschen/diverser-anglerbedarf/5108166/belly-boat-160-komplett-set";lagernd (derzeit bis zu 10 Werktage Lieferzeit);339,00;469,00;"4014037883600"; 0;
"Belly Boat • 170 Komplett-Set";"keine Angabe";"FA108169";"Räuchern, Angeln>Schirme,Zelte,Liegen,Taschen>Schirme,Zelte,Liegen,Taschen>Diverser Anglerbedarf";"Das Belly Boat 170 von DEGA hat eine Länge von 170cm und eine Breite von 116 cm und wird komplett ausgestattet an unsere Kunden ausgeliefert! Eine TOP Qualität und Ausführung die keine Wünsche offen lässt ein bequemer und verstellbarer Sitz. drei Luftkammern im Boot und Sitz sowie Schraubventile sorgen für die Sicherheit beim Angeln. Metallquerstange, der Fangriemen in der Mitte des Sitzes sowie das abnehmbare Netz / Ablage, in welchem ein Maßband integriert ist. sorgen für die Sicherheit. ca. 160 kg Tragkraft Reserven vorhanden sind. das Belly Boat verfügt auch über genügend Stauraum für das Angelgerät mit 2 geräumigen Taschen mit Klettverchluss diese können auch abgenommen werden ! Des Weiteren verbirgt sich hinter dem Sitz eine zusätzliche tiefe Reißverschlusstasche. Zubehör inklusive Tragetasche • Reparaturset • Pumpe • Netz / Ablage mit Maßband • Tragegurte 2 Paddel • geräumige T...";https://www.faie.at/media/image/95/c2/79/art_pro_fo_ka_108169-01_v3_200x200.jpg;"https://www.faie.at/raeuchern-angeln/schirme-zelte-liegen-taschen/schirme-zelte-liegen-taschen/diverser-anglerbedarf/5108169/belly-boat-170-komplett-set";lagernd (derzeit bis zu 10 Werktage Lieferzeit);499,00;569,00;""; 0;
"Kinder Strickjacke Active";"keine Angabe";"FA108170";"Haus, Hof und Garten>Arbeitsschutz>Arbeits- und Freizeitkleidung>Kinder Bekleidung";"Leichte Kinder Strick-Fleece-Jacke (ca.300g/m²). Ärmelabschluss mit Einfassband, Marken-Frontzipper sowie elastische Bund- und Ärmelbündchen-Einfassung. Modernes Reißverschlussband in Kontrastfarbe Rot. 2 Seitentaschen mit Reißverschluss. Material: 100% Polyester. Größe: 110/116, 122/128, 134/140, 146/152, 158/164.";https://www.faie.at/media/image/e2/eb/f7/art_pro_fo_da_108170_200x200.jpg;"https://www.faie.at/haus-hof-und-garten/arbeitsschutz/arbeits-und-freizeitkleidung/kinder-bekleidung/5108170/kinder-strickjacke-active";lagernd (derzeit bis zu 10 Werktage Lieferzeit);19,95;29,95;"4031973097175"; 9,95;
"Kappe Auf meim Hof bin i da Chef! grün";"keine Angabe";"FA108187";"Haushalt, Gesundheit>Haushalt>FAIE Fanshop>Fanartikel";"Praktische Kappe in modernem Look aus 100% Baumwolle. Größe verstellbar.";https://www.faie.at/media/image/08/66/73/art_pro_fo_ia_108187_v2_200x200.jpg;"https://www.faie.at/haushalt-gesundheit/haushalt/faie-fanshop/fanartikel/5108187/kappe-auf-meim-hof-bin-i-da-chef-gruen";lagernd (derzeit bis zu 10 Werktage Lieferzeit);6,99;8,99;"9120065370960"; 9,95;
"T-Shirt ""Auf meim Hof bin i da Chef"" grün";"keine Angabe";"FA108188";"Haushalt, Gesundheit>Haushalt>FAIE Fanshop>Fanartikel";"T-Shirt mit hochwertigem Textildruck ""Auf meim Hof bin i da Chef!"" für unsere Landwirte. Hochwertige Qualität, pflegeleicht, Nackenverstärkt und aus 100% Baumwolle. Farbe: Kelly grün Gr.:S-XXL";https://www.faie.at/media/image/f3/be/22/art_pro_fo_ia_80916_v2_200x200.jpg;"https://www.faie.at/haushalt-gesundheit/haushalt/faie-fanshop/fanartikel/5108188/t-shirt-quot-auf-meim-hof-bin-i-da-chef-quot-gruen";lagernd (derzeit bis zu 10 Werktage Lieferzeit);6,99;9,99;"9120065370977"; 9,95;
"Hochdruckreiniger Therm 1017 m.Trommel ";"Kränzle";"FA108313";"Werkzeuge Maschinen>E-Geräte, Maschinen, Zubehör>Maschinen und Geräte>Hochdruckreiniger>HD-Reiniger für Gewerbe";"Heißwasser Hochdruckreiniger Made in Germany. Hochwertige Dampfstrahler mit stufenlos regelbarer Heißwasserabgabe ( 12-80°C ), Dampfstufe mit 140°C ( max.30 Bar.). Hochwertige Messing - Pumpeneinheit mit 170 Bar max.Überdruck Arbeitsdruck von 30-150 Bar einstellbar. Wasserleistung: 5-16,7 L/min bzw. 300 - 1.000 L/h, Motor: 5,5 KW / 400 Volt, 1400 U/min. Heizleistung: 68 KW, Atktionsmodell mit kompletter Ausstattung inkl. 20M- Hochdruck-Schlauchtrommel und Lanze inkl.Flachstrahldüse und Schnellkupplung.";https://www.faie.at/media/image/02/e3/d1/art_pro_fo_ac_108313_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/e-geraete-maschinen-zubehoer/maschinen-und-geraete/hochdruckreiniger/hd-reiniger-fuer-gewerbe/5108313/hochdruckreiniger-therm-1017-m.trommel";nicht lagernd (10-14 Werktage Lieferzeit);3980,00;4480,00;""; 39;
"Ölauffangbehälter mit Außgießer 15l";"keine Angabe";"FA108377";"Werkzeuge Maschinen>Werkstattbedarf>Kfz Spezial>Öl Absauggeräte, Fettpumpen";"Zum Auffangen von Öl und anderen Flüssigkeiten. Durch die innen liegenden Erhebungen wird beim Entleeren mit dem integriertem Außgießer nichts verschüttet. Fassungsvermögen 15l.";https://www.faie.at/media/image/81/e0/44/art_pro_fo_wb_108377-1_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/werkstattbedarf/kfz-spezial/oel-absauggeraete-fettpumpen/5108377/oelauffangbehaelter-mit-aussgiesser-15l";lagernd (derzeit bis zu 10 Werktage Lieferzeit);12,50;16,95;"8720028069538"; 9,95;
"Akku-Set Hikoki Top 3";"Hikoki";"FA108598";"Werkzeuge Maschinen>E-Geräte, Maschinen, Zubehör>Elektrowerkzeuge>Akku Maschinen>Sonstige Akku Maschinen";"Optimales Einsteiger-Set für den Anspruchsvollen Privatanwender. Bestehend aus Akku-Winkelschleifer G18DSL mit 115mm Scheibendurchmesser, Akku Bohrschrauber DS15DJL mit R+L-Lauf, Elektronik, 2-Gang- Getriebe, 22-fach verstellbarem Drehmoment und 13mm Schnellspannfutter. Max.Drehmoment bis 55Nm. Komplett- Set mit 2xAkku 18V/2,5Ah, Ladegerät und Kunststoff - Systemkoffer.";https://www.faie.at/media/image/71/59/d2/art_pro_fo_aa_108598-gesamt_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/e-geraete-maschinen-zubehoer/elektrowerkzeuge/akku-maschinen/sonstige-akku-maschinen/5108598/akku-set-hikoki-top-3";lagernd (derzeit bis zu 10 Werktage Lieferzeit);199,95;249,00;"4966376310906"; 0;
"Schraubendrehersatz 7-tlg.";"PROMAT";"FA108641";"Werkzeuge Maschinen>Handwerkzeug>Schraubwerkzeug>Schraubendreher>Schraubendrehersätze";"mit Mehrkomponentengriffen mit Abrollschutz · Klingen aus vergütetem Spezialstahl · matt verchromt · Größenleitsystem · Weitere technische Eigenschaften Verpackung: im Karton Inhalt: 1 Schraubendreher für Schlitzschrauben 5,5 x 125 mm je 1 Schraubendreher für Schrauben mit Kreuzschlitz (PH), Gr. 1 x 80 / 2 x 100 / 3 x 150 mm je 1 Schraubendreher für Schrauben mit Kreuzschlitz(PZD), Gr. 1 x 80 / 2 x 100 / 3 x 150 mm";https://www.faie.at/media/image/9e/ef/c3/art_pro_fo_ba_108641_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/handwerkzeug/schraubwerkzeug/schraubendreher/schraubendrehersaetze/5108641/schraubendrehersatz-7-tlg.";nicht lagernd (10-14 Werktage Lieferzeit);23,95;29,50;"4015448735700"; 9,95;
"Steckschlüssel-Set WISVO 1/2"" 24tlg";"keine Angabe";"FA108661";"Werkzeuge Maschinen>Handwerkzeug>Schraubwerkzeug>Steckschlüssel,Kassetten u.Zub>Stecknusskassetten";"Klassische Stecknusskassette mit 1/2"" Antrieb in Kunstoffkassette mit 2 Metallverschlüsse. Inhalt: Nüsse 10-32mm, Knarre feinverzahnt, Kardangelenk, T-Griff und je eine Verlängerung 125 un 250mm.";https://www.faie.at/media/image/60/85/30/art_pro_fo_ba_108661_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/handwerkzeug/schraubwerkzeug/steckschluessel-kassetten-u.zub/stecknusskassetten/5108661/steckschluessel-set-wisvo-1/2-quot-24tlg";lagernd (derzeit bis zu 10 Werktage Lieferzeit);67,90;94,50;"8711482045244"; 6,95;
"Verkehrsschilder";"keine Angabe";"FA108705";"Spielzeug, Kindersachen>Spielzeug>Spiel & Spaß>Spielsachen";"18 teiliges Set aus Holz; Höhe 10 cm";https://www.faie.at/media/image/05/59/d7/art_pro_fo_ib_108705_200x200.jpg;"https://www.faie.at/spielzeug-kindersachen/spielzeug/spiel-spass/spielsachen/5108705/verkehrsschilder";lagernd (derzeit bis zu 10 Werktage Lieferzeit);11,95;14,95;"4020972070647"; 9,95;
"Metritop Bolus - 12er Box";"Landmans-Best";"FA108714";"Tierhaltung>Tierhaltung>Rinder>Ergänzungsfutter-, Hausmittel>Ergänzungsfutter-, Hausmittel";"Diätetisches Mineralfuttermittel für Kühe, unterstützt die Rückbildung und Reinigung der Gebärmutter nach dem Kalben. Die Wirksamkeit des Bolus beruht auf einer Kombination von Pflanzenextrakten , Spurenelementen und Vitaminen . Die Rückkehr zur funktionalen Gebärmutter nach dem Kalben dient zur Vorbereitung auf die nächste Besamung. METRITOP versorgt die Tiere über acht Tage kontinuierlich mit Wirkstoffen. Es wird ein Bolus eine Woche vor dem Kalben empfohlen. Fütterungshinweis: Für Kühe mit einem Gewicht ab 250 kg 1 Bolus 1 Woche vor dem Abkalben Zusammensetzung: Rapsöl, Calciumsalze organischer Säuren, Sibirischer Ginseng, Ingwer, Dürrwurz, Bohnenkraut, Roter Ginseng Analytische Bestandteile: Calcium 0,5% Phosphor 0,0% Natrium 0,1% Magnesium 0,01% Sensorische Zusatzstoffe: Aroma- und appetitanregende Stoffe Hinweise für eine ordnungsgemäße Verwendung: Verfütterung mit einem geeigne...";https://www.faie.at/media/image/28/38/d3/art_pro_fo_fa_108714_200x200.jpg;"https://www.faie.at/tierhaltung/tierhaltung/rinder/ergaenzungsfutter-hausmittel/ergaenzungsfutter-hausmittel/5108714/metritop-bolus-12er-box";lagernd (derzeit bis zu 10 Werktage Lieferzeit);129,00;149,00;"4260091921226"; 6,95;
"Hängeschrank mit Sichtfenster";"keine Angabe";"FA108753";"Werkzeuge Maschinen>Werkstattbedarf>Betriebseinrichtung>Schränke";"H600xB800xT300 mm, lichtgrau, RAL 7035/enzianblau, RAL 5010 Stabile Stahlblechkonstruktion, pulverbeschichtet · Türen mit Sichtfenster aus Acrylglas, abschließbar mit Zylinderschloss · Fachboden höhenverstellbar, Tragfähigkeit 15 kg, 1 Boden.";https://www.faie.at/media/image/bc/2a/4c/art_pro_fo_bd_108753_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/werkstattbedarf/betriebseinrichtung/schraenke/5108753/haengeschrank-mit-sichtfenster";nicht lagernd (10-14 Werktage Lieferzeit);199,00;235,00;"4054773027753"; 25;
"Pferde und Ponys (Wieso? Weshalb? Warum?) Kinderbuch";"Ravensburger";"FA108769";"Spielzeug, Kindersachen>Spielzeug>Spiel & Spaß>Spiele, Puzzle & Bücher";"Kaum ein Kind interessiert sich im Lauf seiner Kindheit nicht für Pferde und Ponys. Welche Pferderassen gibt es? Was fressen Pferde gern und wie putzt und pflegt man sie richtig? Was lernt man in der ersten Reitstunde, und wann müssen Pferde zum Tierarzt? Mit diesem Buch bleiben keine Fragen offen: Anhand liebevoller Illustrationen und einfacher Sachtexte erfahren Kinder alles Wissenswerte über ihre Lieblingstiere. Große und kleine Klappen veranschaulichen Bewegungen und geben vertiefende Einblicke. Auf der letzten Seite lassen ein heraustrennbares Türschild, eine Bastelanregung und ein kniffliges Quiz die Herzen pferdebegeisterter Kinder höherschlagen. Für Kinder von 4-7 Jahren Welches Kind hätte nicht gern ein Pferd als Freund? Dieser Sehnsucht auch der jüngeren Kinder kommt dieser Titel entgegen, dem sie erste Sachinformationen über den großen Freund mit dem weichen Maul entnehmen ...";https://www.faie.at/media/image/e9/0d/03/art_pro_fo_ib_108769_200x200.jpg;"https://www.faie.at/spielzeug-kindersachen/spielzeug/spiel-spass/spiele-puzzle-buecher/5108769/pferde-und-ponys-wieso-weshalb-warum-kinderbuch";lagernd (derzeit bis zu 10 Werktage Lieferzeit);13,90;15,50;"9783473332588"; 9,95;
"CD Pferde und Ponys (Wieso? Weshalb? Warum?)";"keine Angabe";"FA108770";"Spielzeug, Kindersachen>Spielzeug>Spiel & Spaß>Spielsachen";"Auf dem Reiterhof wiehert und trappelt es: Alle Pferde und Ponys wollen gefüttert, geputzt und gesattelt werden. Die erste Reitstunde ist besonders aufregend. Ob im Schritt oder im Galopp, Reiten macht immer Spaß. Aber welche Pferde gibt es eigentlich? Wie heißt was beim Pferd? Und wie kommt ein Fohlen zur Welt? Bei einem kleinen Turnier am Ende kann jeder sein Wissen und Können testen. Als Belohnung winkt ein Ausritt im Galopp übers Feld. Authentische Geräusche, viel Musik und das Eröffnungslied machen das Ganze zum spannenden Hörerlebnis, nach dem Motto ""Ich bin ganz Ohr!"" 1. Various - Ich Bin Ganz Ohr (Musik) (00:59) 2. Various - Was Ist Los Auf Dem Reiterhof? (11:28) 3. Various - Welche Farbe Hat Dein Lieblingspferd? (02:34) 4. Various - Welche Pferde Gibt Es? (06:26) 5. Various - Wie Fühlen Sich Ponys Und Pferde Wohl? (04:16) 6. Various - Was Mögen Pferde? (03:21) 7. Va...";https://www.faie.at/media/image/02/75/7d/art_pro_fo_ib_108770_200x200.jpg;"https://www.faie.at/spielzeug-kindersachen/spielzeug/spiel-spass/spielsachen/5108770/cd-pferde-und-ponys-wieso-weshalb-warum";lagernd (derzeit bis zu 10 Werktage Lieferzeit);11,99;13,99;"9783833714870"; 9,95;
"CD Laster, Bagger und Traktoren (Wieso? Weshalb? Warum?)";"Ravensburger";"FA108771";"Spielzeug, Kindersachen>Spielzeug>Spiel & Spaß>Spiele, Puzzle & Bücher";"Warum kippt ein Kran nicht um? Welche Fahrzeuge haben Arme? Was ist Hydraulik? Warum haben Raupen Ketten und wie wird ein Traktor gesteuert? Gemeinsam mit dem Lkw-Fahrer Rolf und Bauer Uwe gehen Robert und die Kinder Jannick und Julia auf Entdeckungstour. Authentische Geräusche, viel Musik und das Eröffnungslied machen das Ganze zum spannenden Hörerlebnis, nach dem Motto ""Ich bin ganz Ohr!"". Titelliste 01 Various Ich Bin Ganz Ohr (musik) 0:59 02 Various Wozu Brauchen Wir Fahrzeuge? 03 Various Wozu Brauchen Wir Fahrzeuge? 3:42 04 Various Was Sind Nutzfahrzeuge? 05 Various Was Sind Nutzfahrzeuge? 2:01 06 Various Warum Kippt Der Kran Nicht Um? 07 Various Warum Kippt Der Kran Nicht Um? 2:14 08 Various Welche Lkws Gibt Es? 09 Various Welche Lkws Gibt Es? 5:44 10 Various Was Muss Ein Lkw Fahrer Beachten? 11 Various Was Muss Ein Lkw Fahrer Beachten? 5:46 12 Various Wie Bewegen Sich...";https://www.faie.at/media/image/04/26/b8/art_pro_fo_ib_108771_200x200.jpg;"https://www.faie.at/spielzeug-kindersachen/spielzeug/spiel-spass/spiele-puzzle-buecher/5108771/cd-laster-bagger-und-traktoren-wieso-weshalb-warum";lagernd (derzeit bis zu 10 Werktage Lieferzeit);11,99;13,99;"9783833720338"; 9,95;
"Wasserwaage/Neigungsmesser Sola ENW 60";"Sola";"FA108852";"Werkzeuge Maschinen>Handwerkzeug>Messwerkzeuge>Manuelle Messwerkzeuge";"Digitale Wasserwaage für den universellen Einsatz. Zum raschen und exakten Messen von Neigungen oder Gefällen. Umschaltbare Neigungsanzeige in °, mm/m, oder % z.B. zum Ermitteln eines gewünschten Gefälles. Eine akustische Signalführung ermöglicht ein einfaches Auffinden der 0 oder 90° Position auch bei schlechten Sichtverhältnissen. Durch die ""Hold""-Funktion kann der Messwert gespeichert und anschließend abgelesen werden - z.B. bei Über-Kopf-Messungen. Länge 60cm, Messtoleranz 0,05° bei 90°. Schutzart IP65.";https://www.faie.at/media/image/38/8d/74/art_pro_fo_bd_108852_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/handwerkzeug/messwerkzeuge/manuelle-messwerkzeuge/5108852/wasserwaage/neigungsmesser-sola-enw-60";lagernd (derzeit bis zu 10 Werktage Lieferzeit);159,00;239,00;"9002719032472"; 0;
"Stihl Motorsäge MS 500i 71cm";"Stihl";"FA108964";"Forst>Kettensägen>Stihl Kettensägen>Stihl Kettensägen Benzin";"Erste Motorsäge mit STIHL „Injection“ Technologie. Bestes Leistungsgewicht am Markt und einfachste Bedienung. Perfekt geeignet für die Starkholzernte und -aufarbeitung. Dank einzigartigem Leichtbaukonzept und hervorragender Beschleunigung. Neuer Krallenanschlag, HD2 Filter, verliersichere Mutter am Kettenraddeckel für vereinfachten Kettenwechsel, mengenregulierbare Ölpumpe, werkzeuglose Tankverschlüsse zum leichten und sicheren Befüllen mit Betriebsstoffen. Technische Daten: Gewicht: 6,2 kg Leistung kW/PS: 5/6,8 Hubraum: 79,2 cm³ Schienenlänge 71 cm Vibrationswert links/rechts m/s²: 4,2/4 CO2 g/kWh: 707 Schalldruckpegel dB (A): 106 Schallleistungspegel dB (A): 119 Sägekettenteilung: 3/8"" Leistungsgewicht kg/kW: 1,2";https://www.faie.at/media/image/10/0b/92/art_pro_fo_ca_110919_200x200.jpg;"https://www.faie.at/forst/kettensaegen/stihl-kettensaegen/stihl-kettensaegen-benzin/5108964/stihl-motorsaege-ms-500i-71cm";nicht lagernd (10-14 Werktage Lieferzeit);1685,00;1799,00;""; 0;
"Kombi Steckschlüssel Satz 1/4"" + 3/8"" + 1/2"", 172tlg.";"Gedore";"FA109127";"Werkzeuge Maschinen>Handwerkzeug>Schraubwerkzeug>Steckschlüssel,Kassetten u.Zub>Stecknusskassetten";"Umfangreich bestückter Universalsatz mit allen gängigen Steckschlüsseln in Sechskant und TX Ausführung. Mit den jeweiligen Umschaltknarren, Verlängerungen & Kardangelenken, sowie 7-teiligem Inbus Schrauber Set. Lieferung im stabilem Transportkoffer mit Metallschnallen in bester, bekannter Gedore red Qualität Inhalt 1/2"": Sechskant-Einsätze SW 10 11 12 13 14 15 16 17 18 19 20 21 22 24 27 30 32 mm, Sechskant-Einsätze SW 16 17 18 19 22 mm - 77 mm lang, TORX® E20 E24, Zündkerzeneinsatz 16 21 mm, Hebel-Umschaltknarre feinverzahnt, 72 Zähne, Verlängerung 125 250 mm, Kardangelenk, T-Griff = Adapter/Gleitstück + Verlängerung, Adapter/Gleitstück 3/8"" x 1/2"", Adapter 1/2"" x 5/16"" Inhalt 3/8"": Sechskant-Einsätze SW 10 11 12 13 14 15 16 17 18 19 mm, Sechskant-Einsätze SW 10 11 12 13 14 15 mm - 63 mm lang, TORX® E10 E11 E12 E14 E16 E18, Zündkerzeneinsatz 18 mm, Hebel-Umschaltknarre feinverzahn...";https://www.faie.at/media/image/83/8c/c7/art_pro_fo_bd_109127-1_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/handwerkzeug/schraubwerkzeug/steckschluessel-kassetten-u.zub/stecknusskassetten/5109127/kombi-steckschluessel-satz-1/4-quot-3/8-quot-1/2-quot-172tlg.";lagernd (derzeit bis zu 10 Werktage Lieferzeit);119,95;139,00;"4060833000581"; 6,95;
"Fliesenbohrer HM für Winkelschleifer";"Tyrolit";"FA109163";"Werkzeuge Maschinen>Handwerkzeug>Werkzeug für den Bau>Fliesenleger Werkzeug";"Premium HM-Lochbohrer mit M14 Aufnahme passend für jeden handelsüblichen Einhand-Winkelschleifer. Für das saubere ( Trockenschnitt) und rasche Bohren von Löcher in Fliesen und Feinsteinzeug. Tyrolit Premium Qualität für lange Lebendauer.";https://www.faie.at/media/image/a7/69/6e/art_pro_fo_bd_109152_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/handwerkzeug/werkzeug-fuer-den-bau/fliesenleger-werkzeug/5109163/fliesenbohrer-hm-fuer-winkelschleifer";lagernd (derzeit bis zu 10 Werktage Lieferzeit);19,95;27,95;"9003172016597"; 9,95;
"Schweißer EUROMIG 254 Plus 254 Set";"Elmag";"FA109192";"Werkzeuge Maschinen>E-Geräte, Maschinen, Zubehör>Maschinen und Geräte>Schweißgeräte>Schutzgasschweißer";"Hochwertiges Profi Schweißer Set von Elmag mit dem Schweißer EUROMIG 254 und umfangreichem Zubehör- und Verschleißteileset (Düsen, Gashülsen, Düsenstöcke, Haltefedern, Düsenreiniger),und Schweißerhandschuhen. Mit dem Schweißer sind Blechstärken bis 10mm problemlos verschweißbar, mit 10 Schaltstufen, Strom einstellbar von 25-250A. Der Drahtvorschub erfolgt über ein hochwertiges 2-Rollen System, mit integrierter Schweißautomatik: 2-takt, 4-takt, Punkt- und Intervallschweißen.";https://www.faie.at/media/image/41/bb/cf/art_pro_fo_ac_109192-1_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/e-geraete-maschinen-zubehoer/maschinen-und-geraete/schweissgeraete/schutzgasschweisser/5109192/schweisser-euromig-254-plus-254-set";lagernd (derzeit bis zu 10 Werktage Lieferzeit);1890,00;1998,00;""; 39;
"Schweißer Profi-Mig 3000 plus - Set";"Elmag";"FA109195";"Werkzeuge Maschinen>E-Geräte, Maschinen, Zubehör>Maschinen und Geräte>Schweißgeräte>Schutzgasschweißer";"Leistungsstarker Schutzgasschweißer mit 30-300A Schweißleistung. Hochwertiges Markengerät mit 4-Rollen-Drahtvorschub, Einschaltdauer 30% bei 40°C und 300Amp. Top-Ausstattung mit Interval, Punkt, 2 und 4-Takt Schaltstufe. Komplett - Set mit Brenner MB EVO 25/4m, Massekabel, Druckminderer, Schweißerhandschuhe und umfangreichen Zubehör-und Verschleißteilset. Maße: BxTxH 54x85x78cm, Eigengewicht 95 kg.";https://www.faie.at/media/image/e8/b5/2b/art_pro_fo_ac_109195_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/e-geraete-maschinen-zubehoer/maschinen-und-geraete/schweissgeraete/schutzgasschweisser/5109195/schweisser-profi-mig-3000-plus-set";nicht lagernd (10-14 Werktage Lieferzeit);2399,00;2498,00;""; 39;
"Haken mit doppeltem Sicherheitsverschluss EN362";"keine Angabe";"FA109216";"Forst>Forstbekleidung>Arbeitsbekleidung>Kletterbedarf Baumpflege";"komplett aus Stahl, Öffnung 54mm, 23 kN, 450g.";https://www.faie.at/media/image/8b/0b/de/art_pro_fo_cf_109216_200x200.jpg;"https://www.faie.at/forst/forstbekleidung/arbeitsbekleidung/kletterbedarf-baumpflege/5109216/haken-mit-doppeltem-sicherheitsverschluss-en362";lagernd (derzeit bis zu 10 Werktage Lieferzeit);14,95;19,95;""; 9,95;
"Industrie Werkzeugkkoffer, leer";"Gedore";"FA109259";"Werkzeuge Maschinen>Werkstattbedarf>Betriebseinrichtung>Werkzeugwagen & Koffer";"Hochwertiger GedoreRed Werkzeugkoffer mit robustem Rahmen aus Aluminium mit Stoßkantenschutz und Schalen aus schlagestem Kunststoff. 1 Deckelplatte mit Taschen beidseitig, Bodenschale mit variablen Unterteilern (Groß- und Kleinteile) und einer Dokumententasche im Deckel (per Klettband befestigt, herausnehmbar). Fester Stand durch 4 Kunststofffüße. Inkl. abschließbaren Metallschlössern und zwei Schlüsseln. Abmessung (außen): 445x380x180mm (bxhxl), Gewicht leer 4,5kg.";https://www.faie.at/media/image/3b/g0/93/art_pro_fo_ba_109259-1_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/werkstattbedarf/betriebseinrichtung/werkzeugwagen-koffer/5109259/industrie-werkzeugkkoffer-leer";lagernd (derzeit bis zu 10 Werktage Lieferzeit);119,90;148,00;"4060833016605"; 6,95;
"Multikupplung PSF4 komplett";"DNP";"FA109302";"Landtechnik>Hydraulikprogramm>Kupplungen, Kugelhähne,>Multikupplungen>Multikupplung DNP";"Die Multikupplung PSF von dnp wurde entwickelt um das Kuppeln unter Restdruck auf der Werkzeugseite zu ermöglichen. Die Kupplungsstecker erlauben das verbinden der Hydraulikleitungen bis zu einem Druck von 200bar! Die speziellen Dichtungen der Stecker sind für diese Anwendung ausgelegt. Die Verbindung der Hydraulikleitungen erfolgt über flachdichtende Kupplungselemente durch welche innerhalb kürzester Zeit mehrere Hydraulikleitungen miteinander verbunden oder getrennt werden. Dies geschieht mit einem Bedienhebel, dessen Führungskulisse so ausgelegt ist, dass die Bedienkräfte so gering wie notwendig gehalten werden. Die herausragenden Merkmale der Multikupplung sind die Verwechslungssicherheit der Anschlüsse, schnelle Verbindung, Kuppelbarkeit unter Restdruck sowie optimal minimierte Leckage während des Kuppelvorganges. Ein weiterer Vorteil ist die Austauschbarkeit mit der Faster Multi...";https://www.faie.at/media/image/53/ee/88/art_pro_fo_mf_108853_200x200.jpg;"https://www.faie.at/landtechnik/hydraulikprogramm/kupplungen-kugelhaehne/multikupplungen/multikupplung-dnp/5109302/multikupplung-psf4-komplett";lagernd (derzeit bis zu 10 Werktage Lieferzeit);429,00;494,00;""; 0;
"Hängeschrank mit Sichtfenster";"PROMAT";"FA109307";"Werkzeuge Maschinen>Werkstattbedarf>Betriebseinrichtung>Schränke";"Stabile Stahlblechkonstruktion mit Tür und Sichtfenster. Absperrbar mit Zylinderschloss. Inkl.Fachboden höhenverstellbar. Maße: 400x600x300mm BxHxT. Farbe: Lichtgrau/Enzianblau.";https://www.faie.at/media/image/5a/d6/a4/art_pro_fo_bd_109307-1_200x200.jpg;"https://www.faie.at/werkzeuge-maschinen/werkstattbedarf/betriebseinrichtung/schraenke/5109307/haengeschrank-mit-sichtfenster";lagernd (derzeit bis zu 10 Werktage Lieferzeit);159,90;179,00;"4054773027708"; 25;
"Erntehilfe Bicornis";"keine Angabe";"FA109360";"Bestäubung>Bestäubung";"Ihr Hilfsmittel für die Kokons-Ernte! Die Erntehilfe für Bicornis ist ein Edelstahlkamm, mit welchem man die Kokons aus den Nistplatten leicht und schonend ernten kann.";https://www.faie.at/media/image/32/5a/f0/art_pro_fo_ua_109360_200x200.jpg;"https://www.faie.at/bestaeubung/bestaeubung/5109360/erntehilfe-bicornis";lagernd (derzeit bis zu 10 Werktage Lieferzeit);14,90;17,95;"4260594380940"; 9,95;
